Sensor, Timestamp, Value
LoadCell, 2024-05-02 18:38:40.073725, None
DMM, 2024-05-02 18:38:40.073725, 124403.419
LoadCell, 2024-05-02 18:38:40.094948, 0.00416
DMM, 2024-05-02 18:38:40.094948, 123689.309
LoadCell, 2024-05-02 18:38:40.115716, None
DMM, 2024-05-02 18:38:40.115716, 122553.262
LoadCell, 2024-05-02 18:38:40.134566, None
DMM, 2024-05-02 18:38:40.134566, 122008.136
LoadCell, 2024-05-02 18:38:40.153645, None
DMM, 2024-05-02 18:38:40.153645, 121344.147
LoadCell, 2024-05-02 18:38:40.174746, None
DMM, 2024-05-02 18:38:40.174746, 121411.946
LoadCell, 2024-05-02 18:38:40.194878, 0.00399
DMM, 2024-05-02 18:38:40.194878, 121337.333
LoadCell, 2024-05-02 18:38:40.214323, None
DMM, 2024-05-02 18:38:40.214323, 121054.867
LoadCell, 2024-05-02 18:38:40.234213, None
DMM, 2024-05-02 18:38:40.234213, 120791.532
LoadCell, 2024-05-02 18:38:40.255343, None
DMM, 2024-05-02 18:38:40.255343, 119778.763
LoadCell, 2024-05-02 18:38:40.273703, None
DMM, 2024-05-02 18:38:40.273703, 119752.325
LoadCell, 2024-05-02 18:38:40.294250, 0.00319
DMM, 2024-05-02 18:38:40.294250, 119023.589
LoadCell, 2024-05-02 18:38:40.313926, None
DMM, 2024-05-02 18:38:40.313926, 116662.244
LoadCell, 2024-05-02 18:38:40.333653, None
DMM, 2024-05-02 18:38:40.333653, 115669.622
LoadCell, 2024-05-02 18:38:40.354735, None
DMM, 2024-05-02 18:38:40.354735, 114495.855
LoadCell, 2024-05-02 18:38:40.373814, None
DMM, 2024-05-02 18:38:40.373814, 113604.647
LoadCell, 2024-05-02 18:38:40.394925, 0.00192
DMM, 2024-05-02 18:38:40.394925, 113052.831
LoadCell, 2024-05-02 18:38:40.412675, None
DMM, 2024-05-02 18:38:40.412675, 112736.381
LoadCell, 2024-05-02 18:38:40.433644, None
DMM, 2024-05-02 18:38:40.433644, 112088.125
LoadCell, 2024-05-02 18:38:40.454568, None
DMM, 2024-05-02 18:38:40.454568, 109866.86
LoadCell, 2024-05-02 18:38:40.475591, None
DMM, 2024-05-02 18:38:40.475591, 109401.761
LoadCell, 2024-05-02 18:38:40.493704, 0.00014
DMM, 2024-05-02 18:38:40.493704, 108925.054
LoadCell, 2024-05-02 18:38:40.513733, None
DMM, 2024-05-02 18:38:40.513733, 107611.265
LoadCell, 2024-05-02 18:38:40.534626, None
DMM, 2024-05-02 18:38:40.534626, 106824.958
LoadCell, 2024-05-02 18:38:40.553892, None
DMM, 2024-05-02 18:38:40.553892, 105417.664
LoadCell, 2024-05-02 18:38:40.573941, None
DMM, 2024-05-02 18:38:40.573941, 104526.262
LoadCell, 2024-05-02 18:38:40.593732, 0.00683
DMM, 2024-05-02 18:38:40.593732, 103343.648
LoadCell, 2024-05-02 18:38:40.613553, None
DMM, 2024-05-02 18:38:40.613553, 102128.491
LoadCell, 2024-05-02 18:38:40.633703, None
DMM, 2024-05-02 18:38:40.633703, 101069.634
LoadCell, 2024-05-02 18:38:40.653946, None
DMM, 2024-05-02 18:38:40.653946, 100294.836
LoadCell, 2024-05-02 18:38:40.673069, None
DMM, 2024-05-02 18:38:40.673069, 100198.344
LoadCell, 2024-05-02 18:38:40.696255, 0.74959
DMM, 2024-05-02 18:38:40.696255, 99906.9197
LoadCell, 2024-05-02 18:38:40.713734, None
DMM, 2024-05-02 18:38:40.713734, 99574.618
LoadCell, 2024-05-02 18:38:40.733632, None
DMM, 2024-05-02 18:38:40.733632, 99569.7804
LoadCell, 2024-05-02 18:38:40.753970, None
DMM, 2024-05-02 18:38:40.753970, 99073.0384
LoadCell, 2024-05-02 18:38:40.774745, None
DMM, 2024-05-02 18:38:40.774745, 98486.948
LoadCell, 2024-05-02 18:38:40.794537, 0.84308
DMM, 2024-05-02 18:38:40.794537, 97935.6314
LoadCell, 2024-05-02 18:38:40.813408, None
DMM, 2024-05-02 18:38:40.813408, 96100.5551
LoadCell, 2024-05-02 18:38:40.832914, None
DMM, 2024-05-02 18:38:40.832914, 96029.293
LoadCell, 2024-05-02 18:38:40.853724, None
DMM, 2024-05-02 18:38:40.853724, 95208.9064
LoadCell, 2024-05-02 18:38:40.873309, None
DMM, 2024-05-02 18:38:40.873309, 94670.8993
LoadCell, 2024-05-02 18:38:40.893941, 0.92723
DMM, 2024-05-02 18:38:40.893941, 93709.6339
LoadCell, 2024-05-02 18:38:40.916241, None
DMM, 2024-05-02 18:38:40.916241, 92089.2442
LoadCell, 2024-05-02 18:38:40.932498, None
DMM, 2024-05-02 18:38:40.932498, 90709.8351
