,load,ohms
2159,"[' 2024-04-29 14:24:52.041379', '0.007']","[' 2024-04-29 14:24:52.041379', '210573.901']"
2160,"[' 2024-04-29 14:24:52.241527', '0.007']","[' 2024-04-29 14:24:52.241527', '209199.587']"
2161,"[' 2024-04-29 14:24:52.450427', '0.007']","[' 2024-04-29 14:24:52.450427', '207225.006']"
2162,"[' 2024-04-29 14:24:52.642065', '0.007']","[' 2024-04-29 14:24:52.642065', '208139.632']"
2163,"[' 2024-04-29 14:24:52.850281', '0.006']","[' 2024-04-29 14:24:52.850281', '41688.8851']"
2164,"[' 2024-04-29 14:24:53.041560', '0.048']","[' 2024-04-29 14:24:53.041560', '3912.39166']"
2165,"[' 2024-04-29 14:24:53.240189', '4.015']","[' 2024-04-29 14:24:53.240189', '3514.51831']"
2166,"[' 2024-04-29 14:24:53.441084', '4.642']","[' 2024-04-29 14:24:53.441084', '3587.50749']"
2167,"[' 2024-04-29 14:24:53.640489', '4.675']","[' 2024-04-29 14:24:53.640489', '3450.15845']"
2168,"[' 2024-04-29 14:24:53.841827', '4.697']","[' 2024-04-29 14:24:53.841827', '3387.11296']"
2169,"[' 2024-04-29 14:24:54.040724', '4.709']","[' 2024-04-29 14:24:54.040724', '3534.83529']"
2170,"[' 2024-04-29 14:24:54.242242', '4.737']","[' 2024-04-29 14:24:54.242242', '3389.60904']"
2171,"[' 2024-04-29 14:24:54.450559', '4.755']","[' 2024-04-29 14:24:54.450559', '3407.87301']"
2172,"[' 2024-04-29 14:24:54.652616', '4.779']","[' 2024-04-29 14:24:54.652616', '3392.44522']"
2173,"[' 2024-04-29 14:24:54.849223', '4.79']","[' 2024-04-29 14:24:54.849223', '3294.5431']"
2174,"[' 2024-04-29 14:24:55.049776', '4.81']","[' 2024-04-29 14:24:55.049776', '3438.64435']"
2175,"[' 2024-04-29 14:24:55.241248', '4.831']","[' 2024-04-29 14:24:55.241248', '3183.69409']"
2176,"[' 2024-04-29 14:24:55.441112', '4.857']","[' 2024-04-29 14:24:55.441112', '3142.05211']"
2177,"[' 2024-04-29 14:24:55.640366', '4.872']","[' 2024-04-29 14:24:55.640366', '3287.78279']"
2178,"[' 2024-04-29 14:24:55.849854', '4.881']","[' 2024-04-29 14:24:55.849854', '3330.77668']"
2179,"[' 2024-04-29 14:24:56.040516', '4.905']","[' 2024-04-29 14:24:56.040516', '3405.16454']"
2180,"[' 2024-04-29 14:24:56.250651', '4.922']","[' 2024-04-29 14:24:56.250651', '3385.57722']"
2181,"[' 2024-04-29 14:24:56.451570', '4.938']","[' 2024-04-29 14:24:56.451570', '3323.14115']"
2182,"[' 2024-04-29 14:24:56.640391', '4.956']","[' 2024-04-29 14:24:56.640391', '3238.18829']"
2183,"[' 2024-04-29 14:24:56.847716', '4.974']","[' 2024-04-29 14:24:56.847716', '3136.6629']"
2184,"[' 2024-04-29 14:24:57.045880', '4.997']","[' 2024-04-29 14:24:57.045880', '3137.55497']"
2185,"[' 2024-04-29 14:24:57.240640', '5.018']","[' 2024-04-29 14:24:57.240640', '3123.35896']"
2186,"[' 2024-04-29 14:24:57.452422', '5.04']","[' 2024-04-29 14:24:57.452422', '3213.48794']"
2187,"[' 2024-04-29 14:24:57.650892', '5.057']","[' 2024-04-29 14:24:57.650892', '3186.38308']"
2188,"[' 2024-04-29 14:24:57.850576', '5.07']","[' 2024-04-29 14:24:57.850576', '3270.88837']"
2189,"[' 2024-04-29 14:24:58.050758', '5.092']","[' 2024-04-29 14:24:58.050758', '3166.83592']"
2190,"[' 2024-04-29 14:24:58.251999', '5.113']","[' 2024-04-29 14:24:58.251999', '2964.62555']"
2191,"[' 2024-04-29 14:24:58.449224', '5.139']","[' 2024-04-29 14:24:58.449224', '3137.3595']"
2192,"[' 2024-04-29 14:24:58.640979', '5.156']","[' 2024-04-29 14:24:58.640979', '3106.15114']"
2193,"[' 2024-04-29 14:24:58.850582', '5.171']","[' 2024-04-29 14:24:58.850582', '3007.57086']"
2194,"[' 2024-04-29 14:24:59.040419', '5.19']","[' 2024-04-29 14:24:59.040419', '3022.77175']"
2195,"[' 2024-04-29 14:24:59.240255', '5.207']","[' 2024-04-29 14:24:59.240255', '2973.80351']"
2196,"[' 2024-04-29 14:24:59.447895', '5.224']","[' 2024-04-29 14:24:59.447895', '3005.39621']"
2197,"[' 2024-04-29 14:24:59.640800', '5.252']","[' 2024-04-29 14:24:59.640800', '3046.80544']"
2198,"[' 2024-04-29 14:24:59.850007', '5.27']","[' 2024-04-29 14:24:59.850007', '3166.26109']"
2199,"[' 2024-04-29 14:25:00.040876', '5.283']","[' 2024-04-29 14:25:00.040876', '2922.98339']"
2200,"[' 2024-04-29 14:25:00.240524', '5.304']","[' 2024-04-29 14:25:00.240524', '2925.12757']"
2201,"[' 2024-04-29 14:25:00.451252', '5.324']","[' 2024-04-29 14:25:00.451252', '3127.09702']"
2202,"[' 2024-04-29 14:25:00.641152', '5.342']","[' 2024-04-29 14:25:00.641152', '2947.03893']"
2203,"[' 2024-04-29 14:25:00.840531', '5.368']","[' 2024-04-29 14:25:00.840531', '2969.02836']"
2204,"[' 2024-04-29 14:25:01.041564', '5.388']","[' 2024-04-29 14:25:01.041564', '2923.44587']"
2205,"[' 2024-04-29 14:25:01.249228', '5.397']","[' 2024-04-29 14:25:01.249228', '2786.19696']"
2206,"[' 2024-04-29 14:25:01.451488', '5.408']","[' 2024-04-29 14:25:01.451488', '2885.90459']"
2207,"[' 2024-04-29 14:25:01.639739', '5.431']","[' 2024-04-29 14:25:01.639739', '3007.11516']"
2208,"[' 2024-04-29 14:25:01.850653', '5.453']","[' 2024-04-29 14:25:01.850653', '2893.76765']"
2209,"[' 2024-04-29 14:25:02.035350', '5.477']","[' 2024-04-29 14:25:02.035350', '2802.59127']"
2210,"[' 2024-04-29 14:25:02.235555', '5.496']","[' 2024-04-29 14:25:02.235555', '3000.32561']"
2211,"[' 2024-04-29 14:25:02.440029', '5.51']","[' 2024-04-29 14:25:02.440029', '2792.89903']"
2212,"[' 2024-04-29 14:25:02.640973', '5.524']","[' 2024-04-29 14:25:02.640973', '2904.55714']"
2213,"[' 2024-04-29 14:25:02.840934', '5.541']","[' 2024-04-29 14:25:02.840934', '2715.70304']"
2214,"[' 2024-04-29 14:25:03.035488', '5.569']","[' 2024-04-29 14:25:03.035488', '2807.10813']"
2215,"[' 2024-04-29 14:25:03.251410', '5.59']","[' 2024-04-29 14:25:03.251410', '2688.17309']"
2216,"[' 2024-04-29 14:25:03.450976', '5.606']","[' 2024-04-29 14:25:03.450976', '2915.51651']"
2217,"[' 2024-04-29 14:25:03.640411', '5.622']","[' 2024-04-29 14:25:03.640411', '2827.85876']"
2218,"[' 2024-04-29 14:25:03.840012', '5.641']","[' 2024-04-29 14:25:03.840012', '2619.33473']"
2219,"[' 2024-04-29 14:25:04.040181', '5.656']","[' 2024-04-29 14:25:04.040181', '2811.69194']"
2220,"[' 2024-04-29 14:25:04.240187', '5.69']","[' 2024-04-29 14:25:04.240187', '2586.06603']"
2221,"[' 2024-04-29 14:25:04.436474', '5.711']","[' 2024-04-29 14:25:04.436474', '2786.05134']"
2222,"[' 2024-04-29 14:25:04.647739', '5.729']","[' 2024-04-29 14:25:04.647739', '2639.6565']"
2223,"[' 2024-04-29 14:25:04.847073', '5.744']","[' 2024-04-29 14:25:04.847073', '2501.29013']"
2224,"[' 2024-04-29 14:25:05.048585', '5.756']","[' 2024-04-29 14:25:05.048585', '2690.45018']"
2225,"[' 2024-04-29 14:25:05.240781', '5.77']","[' 2024-04-29 14:25:05.240781', '2677.00002']"
2226,"[' 2024-04-29 14:25:05.439942', '5.788']","[' 2024-04-29 14:25:05.439942', '2537.16797']"
2227,"[' 2024-04-29 14:25:05.639979', '5.82']","[' 2024-04-29 14:25:05.639979', '2642.97366']"
2228,"[' 2024-04-29 14:25:05.838248', '5.837']","[' 2024-04-29 14:25:05.838248', '2572.62297']"
2229,"[' 2024-04-29 14:25:06.040056', '5.854']","[' 2024-04-29 14:25:06.040056', '2512.48197']"
2230,"[' 2024-04-29 14:25:06.251305', '5.874']","[' 2024-04-29 14:25:06.251305', '2753.05129']"
2231,"[' 2024-04-29 14:25:06.440656', '5.892']","[' 2024-04-29 14:25:06.440656', '2519.65713']"
2232,"[' 2024-04-29 14:25:06.648374', '5.914']","[' 2024-04-29 14:25:06.648374', '2630.82679']"
2233,"[' 2024-04-29 14:25:06.850771', '5.931']","[' 2024-04-29 14:25:06.850771', '2819.07056']"
2234,"[' 2024-04-29 14:25:07.040367', '5.944']","[' 2024-04-29 14:25:07.040367', '2628.42766']"
2235,"[' 2024-04-29 14:25:07.249441', '5.96']","[' 2024-04-29 14:25:07.249441', '2554.13702']"
2236,"[' 2024-04-29 14:25:07.440272', '5.985']","[' 2024-04-29 14:25:07.440272', '2712.83621']"
2237,"[' 2024-04-29 14:25:07.640186', '6.007']","[' 2024-04-29 14:25:07.640186', '2513.28937']"
2238,"[' 2024-04-29 14:25:07.850922', '6.024']","[' 2024-04-29 14:25:07.850922', '2738.33785']"
2239,"[' 2024-04-29 14:25:08.040441', '6.042']","[' 2024-04-29 14:25:08.040441', '2587.09298']"
2240,"[' 2024-04-29 14:25:08.241311', '6.061']","[' 2024-04-29 14:25:08.241311', '2548.64498']"
2241,"[' 2024-04-29 14:25:08.450481', '6.084']","[' 2024-04-29 14:25:08.450481', '2544.36435']"
2242,"[' 2024-04-29 14:25:08.650997', '6.104']","[' 2024-04-29 14:25:08.650997', '2549.16062']"
2243,"[' 2024-04-29 14:25:08.842326', '6.123']","[' 2024-04-29 14:25:08.842326', '2578.02927']"
2244,"[' 2024-04-29 14:25:09.042288', '6.136']","[' 2024-04-29 14:25:09.042288', '2393.60151']"
2245,"[' 2024-04-29 14:25:09.242434', '6.154']","[' 2024-04-29 14:25:09.242434', '2535.83348']"
2246,"[' 2024-04-29 14:25:09.442446', '6.171']","[' 2024-04-29 14:25:09.442446', '2564.73799']"
2247,"[' 2024-04-29 14:25:09.648374', '6.191']","[' 2024-04-29 14:25:09.648374', '2549.17333']"
2248,"[' 2024-04-29 14:25:09.844251', '6.218']","[' 2024-04-29 14:25:09.844251', '2578.65116']"
2249,"[' 2024-04-29 14:25:10.044170', '6.23']","[' 2024-04-29 14:25:10.044170', '2421.96873']"
2250,"[' 2024-04-29 14:25:10.244360', '6.257']","[' 2024-04-29 14:25:10.244360', '2500.37135']"
2251,"[' 2024-04-29 14:25:10.445145', '6.276']","[' 2024-04-29 14:25:10.445145', '2540.94524']"
2252,"[' 2024-04-29 14:25:10.645480', '6.291']","[' 2024-04-29 14:25:10.645480', '2470.87832']"
2253,"[' 2024-04-29 14:25:10.845496', '6.312']","[' 2024-04-29 14:25:10.845496', '2654.82481']"
2254,"[' 2024-04-29 14:25:11.046025', '6.332']","[' 2024-04-29 14:25:11.046025', '2556.14932']"
2255,"[' 2024-04-29 14:25:11.249074', '6.36']","[' 2024-04-29 14:25:11.249074', '2482.15975']"
2256,"[' 2024-04-29 14:25:11.446700', '6.379']","[' 2024-04-29 14:25:11.446700', '2507.93971']"
2257,"[' 2024-04-29 14:25:11.647300', '6.385']","[' 2024-04-29 14:25:11.647300', '2416.59302']"
2258,"[' 2024-04-29 14:25:11.847622', '6.393']","[' 2024-04-29 14:25:11.847622', '2305.33246']"
2259,"[' 2024-04-29 14:25:12.047706', '6.42']","[' 2024-04-29 14:25:12.047706', '2535.08883']"
2260,"[' 2024-04-29 14:25:12.247936', '6.447']","[' 2024-04-29 14:25:12.247936', '2442.06759']"
2261,"[' 2024-04-29 14:25:12.448462', '6.467']","[' 2024-04-29 14:25:12.448462', '2480.871']"
2262,"[' 2024-04-29 14:25:12.648948', '6.482']","[' 2024-04-29 14:25:12.648948', '2567.72727']"
2263,"[' 2024-04-29 14:25:12.849461', '6.495']","[' 2024-04-29 14:25:12.849461', '2345.97423']"
2264,"[' 2024-04-29 14:25:13.050188', '6.528']","[' 2024-04-29 14:25:13.050188', '2436.47165']"
2265,"[' 2024-04-29 14:25:13.240863', '6.548']","[' 2024-04-29 14:25:13.240863', '2338.79747']"
2266,"[' 2024-04-29 14:25:13.450131', '6.565']","[' 2024-04-29 14:25:13.450131', '2517.07276']"
2267,"[' 2024-04-29 14:25:13.650451', '6.577']","[' 2024-04-29 14:25:13.650451', '2340.33373']"
2268,"[' 2024-04-29 14:25:13.839894', '6.589']","[' 2024-04-29 14:25:13.839894', '2430.49179']"
2269,"[' 2024-04-29 14:25:14.040655', '6.615']","[' 2024-04-29 14:25:14.040655', '2403.14778']"
2270,"[' 2024-04-29 14:25:14.238459', '6.64']","[' 2024-04-29 14:25:14.238459', '2352.61125']"
2271,"[' 2024-04-29 14:25:14.439711', '6.66']","[' 2024-04-29 14:25:14.439711', '2502.35858']"
2272,"[' 2024-04-29 14:25:14.649797', '6.676']","[' 2024-04-29 14:25:14.649797', '2333.06211']"
2273,"[' 2024-04-29 14:25:14.847034', '6.703']","[' 2024-04-29 14:25:14.847034', '2413.94344']"
2274,"[' 2024-04-29 14:25:15.038364', '6.723']","[' 2024-04-29 14:25:15.038364', '2213.4337']"
2275,"[' 2024-04-29 14:25:15.238007', '6.735']","[' 2024-04-29 14:25:15.238007', '2382.27626']"
2276,"[' 2024-04-29 14:25:15.439982', '6.746']","[' 2024-04-29 14:25:15.439982', '2280.17352']"
2277,"[' 2024-04-29 14:25:15.640027', '6.758']","[' 2024-04-29 14:25:15.640027', '2357.7482']"
2278,"[' 2024-04-29 14:25:15.839214', '6.769']","[' 2024-04-29 14:25:15.839214', '2334.07274']"
2279,"[' 2024-04-29 14:25:16.046399', '6.786']","[' 2024-04-29 14:25:16.046399', '2393.99736']"
2280,"[' 2024-04-29 14:25:16.247634', '6.821']","[' 2024-04-29 14:25:16.247634', '2432.03844']"
