,load,ohms
406,"[' 2024-04-29 14:48:13.803300', ' 1.909']","[' 2024-04-29 14:48:13.803300', ' 7945.95912']"
407,"[' 2024-04-29 14:48:14.003787', ' 1.915']","[' 2024-04-29 14:48:14.003787', ' 7883.22634']"
408,"[' 2024-04-29 14:48:14.204089', ' 1.919']","[' 2024-04-29 14:48:14.204089', ' 7943.0836']"
409,"[' 2024-04-29 14:48:14.410395', ' 1.928']","[' 2024-04-29 14:48:14.410395', ' 7849.8242']"
410,"[' 2024-04-29 14:48:14.608009', ' 1.931']","[' 2024-04-29 14:48:14.608009', ' 7936.64954']"
411,"[' 2024-04-29 14:48:14.806375', ' 1.933']","[' 2024-04-29 14:48:14.806375', ' 8011.49585']"
412,"[' 2024-04-29 14:48:15.006792', ' 1.937']","[' 2024-04-29 14:48:15.006792', ' 7984.5987']"
413,"[' 2024-04-29 14:48:15.207607', ' 1.943']","[' 2024-04-29 14:48:15.207607', ' 7957.87458']"
414,"[' 2024-04-29 14:48:15.406834', ' 1.947']","[' 2024-04-29 14:48:15.406834', ' 7933.03659']"
415,"[' 2024-04-29 14:48:15.607412', ' 1.952']","[' 2024-04-29 14:48:15.607412', ' 7808.03936']"
416,"[' 2024-04-29 14:48:15.809058', ' 1.96']","[' 2024-04-29 14:48:15.809058', ' 7733.53075']"
417,"[' 2024-04-29 14:48:16.008612', ' 1.964']","[' 2024-04-29 14:48:16.008612', ' 7763.90087']"
418,"[' 2024-04-29 14:48:16.214047', ' 1.97']","[' 2024-04-29 14:48:16.214047', ' 7686.24758']"
419,"[' 2024-04-29 14:48:16.409434', ' 1.98']","[' 2024-04-29 14:48:16.409434', ' 7805.31189']"
420,"[' 2024-04-29 14:48:16.602311', ' 1.989']","[' 2024-04-29 14:48:16.602311', ' 7779.52406']"
421,"[' 2024-04-29 14:48:16.812070', ' 1.998']","[' 2024-04-29 14:48:16.812070', ' 7663.15277']"
422,"[' 2024-04-29 14:48:17.010520', ' 2.004']","[' 2024-04-29 14:48:17.010520', ' 7643.81685']"
423,"[' 2024-04-29 14:48:17.195021', ' 2.01']","[' 2024-04-29 14:48:17.195021', ' 7546.10758']"
424,"[' 2024-04-29 14:48:17.395299', ' 2.014']","[' 2024-04-29 14:48:17.395299', ' 7704.63211']"
425,"[' 2024-04-29 14:48:17.595473', ' 2.021']","[' 2024-04-29 14:48:17.595473', ' 7443.84739']"
426,"[' 2024-04-29 14:48:17.795571', ' 2.026']","[' 2024-04-29 14:48:17.795571', ' 7469.89517']"
427,"[' 2024-04-29 14:48:18.007791', ' 2.03']","[' 2024-04-29 14:48:18.007791', ' 7459.76464']"
428,"[' 2024-04-29 14:48:18.196180', ' 2.037']","[' 2024-04-29 14:48:18.196180', ' 7442.48734']"
429,"[' 2024-04-29 14:48:18.397306', ' 2.043']","[' 2024-04-29 14:48:18.397306', ' 7450.15703']"
430,"[' 2024-04-29 14:48:18.597511', ' 2.047']","[' 2024-04-29 14:48:18.597511', ' 7459.93565']"
431,"[' 2024-04-29 14:48:18.797139', ' 2.051']","[' 2024-04-29 14:48:18.797139', ' 7347.99644']"
432,"[' 2024-04-29 14:48:18.997485', ' 2.056']","[' 2024-04-29 14:48:18.997485', ' 7366.56612']"
433,"[' 2024-04-29 14:48:19.199016', ' 2.062']","[' 2024-04-29 14:48:19.199016', ' 7373.55095']"
434,"[' 2024-04-29 14:48:19.406912', ' 2.069']","[' 2024-04-29 14:48:19.406912', ' 7438.37528']"
435,"[' 2024-04-29 14:48:19.599013', ' 2.071']","[' 2024-04-29 14:48:19.599013', ' 7353.71512']"
436,"[' 2024-04-29 14:48:19.797619', ' 2.075']","[' 2024-04-29 14:48:19.797619', ' 7444.12258']"
437,"[' 2024-04-29 14:48:19.998016', ' 2.079']","[' 2024-04-29 14:48:19.998016', ' 7330.73203']"
438,"[' 2024-04-29 14:48:20.197796', ' 2.085']","[' 2024-04-29 14:48:20.197796', ' 7325.67268']"
439,"[' 2024-04-29 14:48:20.397957', ' 2.087']","[' 2024-04-29 14:48:20.397957', ' 7304.7637']"
440,"[' 2024-04-29 14:48:20.598144', ' 2.093']","[' 2024-04-29 14:48:20.598144', ' 7310.95633']"
