,Load (lbf),Resistance (Ohms)
721,5.723,3092.37884
722,5.728,3124.35242
723,5.724,3193.10419
724,5.727,3137.37508
725,5.724,3077.65083
726,5.725,3181.36768
727,5.725,2983.21748
728,5.725,3039.96593
729,5.725,3141.48644
730,5.724,3134.15666
731,5.724,3051.4986
732,5.724,3033.38048
733,5.724,3129.19586
734,5.724,3060.44859
735,5.724,3070.17435
736,5.724,3126.55087
737,5.724,3040.79751
738,5.724,3068.92659
739,5.724,3107.10988
740,5.724,3177.89238
741,5.724,3147.67362
742,5.724,3185.66864
743,5.724,3044.84606
744,5.724,3073.97229
745,5.724,3133.87615
746,5.724,3060.82151
747,5.724,3308.81522
748,5.719,36290.9432
749,1.053,35938.9046
750,0.764,34413.3529
751,0.764,34486.7779
752,0.765,34106.6617
753,0.765,33565.1899
754,0.765,33845.3301
755,0.765,34469.7485
756,0.765,34084.7439
757,0.765,32970.9904
758,0.765,32976.5342
759,0.765,32678.2454
760,0.765,31585.8107
761,0.765,21269.7333
762,0.945,18721.8007
763,1.399,26007.0375
764,1.298,3634.15125
765,1.974,3253.85378
766,5.682,3185.7476
767,5.683,3193.35004
768,5.738,3153.41753
769,5.708,3074.57405
770,5.73,3040.66178
771,5.72,3263.50295
772,5.727,3119.67803
773,5.721,3134.95442
774,5.725,3198.35056
775,5.722,3134.99796
776,5.722,3187.3955
777,5.723,3044.09788
778,5.722,2992.01417
779,5.721,3151.52353
780,5.721,3182.33469
781,5.721,3238.81632
782,5.721,3194.56707
783,5.721,3252.05016
784,5.72,3061.39857
785,5.721,3125.89917
786,5.72,3238.09099
787,5.721,3243.74388
788,5.721,3123.78492
789,5.721,3162.04585
790,5.721,3109.67315
791,5.721,3095.76863
792,5.721,3040.07715
793,5.721,3157.30665
794,5.721,3278.75861
795,5.721,3132.64409
796,5.72,3268.68544
797,5.805,332914.031
798,4.954,40927.4677
799,0.756,37766.1134
800,0.76,37179.6351
801,0.76,37273.3934
802,0.76,37429.0685
803,0.761,35659.7545
804,0.761,35098.848
805,0.761,33918.3484
806,0.761,33415.3766
807,0.761,33358.905
808,0.761,32952.855
809,0.761,33105.18
810,0.761,33114.2435
811,0.761,20943.0758
812,0.765,32980.7229
813,0.759,14007.6818
814,1.214,26553.2969
815,1.09,3772.05023
816,2.689,3249.08585
817,5.775,3194.0505
818,5.757,3285.98363
819,5.765,3081.14343
820,5.754,3095.03962
821,5.76,3151.09669
822,5.757,3128.36905
823,5.762,3365.42039
824,5.76,3110.02848
825,5.759,3184.82874
826,5.757,2932.49028
827,5.757,3219.59355
828,5.757,3051.75359
829,5.756,3020.34789
830,5.756,2982.90563
831,5.756,3215.46018
832,5.756,3101.34875
833,5.755,3152.47342
834,5.756,2977.96171
835,5.756,3122.93078
836,5.756,3205.77185
837,5.755,3093.4115
838,5.756,3168.97919
839,5.755,3161.51912
840,5.755,6520.2221
841,5.551,39425.3002
842,0.745,38754.1879
843,0.768,36437.6116
844,0.768,35677.3065
845,0.768,35435.6822
846,0.768,35118.9868
847,0.768,34636.0026
848,0.768,34667.599
849,0.768,34175.0296
850,0.768,34249.2815
851,0.768,34777.2862
852,0.768,21736.3846
853,0.905,20330.5619
854,1.31,13997.9312
855,1.515,17222.3232
856,1.358,13611.4466
857,1.223,12223.3652
858,1.602,11920.3782
859,1.433,5261.53888
860,1.111,3402.03045
861,3.626,3253.80151
862,5.749,3166.24549
863,5.78,3123.00801
864,5.72,3295.08725
865,5.756,3241.44301
866,5.735,3083.35796
867,5.746,3117.58766
868,5.74,3206.97891
869,5.744,3169.9113
870,5.742,3218.52295
871,5.743,3131.49102
872,5.741,3113.23917
873,5.74,3193.12701
874,5.739,3169.20062
875,5.739,3123.34025
876,5.739,3025.47037
877,5.739,3009.94549
878,5.738,3175.44766
879,5.738,3138.5077
880,5.739,3098.65687
881,5.738,3222.6145
882,5.738,3133.68047
883,5.738,3161.06547
884,5.738,3159.69638
885,5.738,3140.943
886,5.737,2946.41005
887,5.737,3176.31135
888,5.737,3054.22112
889,5.737,3094.82025
890,5.737,3097.91637
891,5.737,3089.88971
892,5.737,3159.10787
893,5.737,3017.43556
894,5.737,3043.64941
895,5.737,3210.34973
896,5.737,3122.40522
897,5.737,3131.78794
898,5.736,3034.11652
899,5.737,3185.48816
900,5.737,2922.77415
901,5.737,3211.69115
902,5.737,3133.37934
903,5.736,3181.61459
904,5.737,3108.84218
905,5.737,3210.68843
906,5.737,4950.15524
907,5.577,38626.2316
908,0.723,38098.0446
909,0.764,36316.7984
910,0.764,36088.8835
911,0.764,34827.7131
912,0.764,34590.0624
913,0.764,34355.3646
914,0.764,34026.8194
915,0.764,33869.6385
916,0.764,33370.5324
917,0.764,32668.298
918,0.764,32054.1469
919,0.764,31935.0842
920,0.764,31707.6554
921,0.764,31699.6676
922,0.764,31535.4287
923,0.764,31453.8699
924,0.764,31369.7993
925,0.764,30827.5501
926,0.764,30801.5925
927,0.764,30296.1221
928,0.764,30004.5499
929,0.764,32442.7156
930,0.876,10191.1455
931,1.023,15251.6799
932,1.471,3403.74602
933,5.179,3151.42749
934,5.774,3221.70653
935,5.734,3233.01509
936,5.757,3274.99442
937,5.743,3125.90583
938,5.749,3113.75321
939,5.744,3108.59792
940,5.747,3063.58589
941,5.744,3107.14437
942,5.745,3012.83763
943,5.744,3145.7462
944,5.744,3055.53389
945,5.744,3303.24987
946,5.744,3110.21948
947,5.744,3100.39079
948,5.744,3104.7317
949,5.744,2991.90174
950,5.744,3088.8746
951,5.743,3219.49733
952,5.744,3121.14484
953,5.743,2975.0454
954,5.744,3095.0496
955,5.744,2952.59053
956,5.744,3219.84833
957,5.744,3138.30623
958,5.744,3186.87201
959,5.744,3173.58487
960,5.744,3170.17338
961,5.744,3036.56942
962,5.744,3149.58458
963,5.744,3063.53194
964,5.744,3166.17145
965,5.744,2999.17816
966,5.744,3113.55652
967,5.744,3059.66967
968,5.744,3139.44933
969,5.744,3101.47826
970,5.744,3006.49183
971,5.793,63029.4005
972,4.998,37841.0577
973,0.765,35696.1142
974,0.769,35378.61
975,0.77,35123.365
976,0.77,34646.5219
977,0.77,34573.3211
978,0.77,34532.1848
979,0.77,33959.1828
980,0.77,33449.3534
981,0.77,32764.3369
982,0.77,32420.1064
983,0.77,31990.9239
984,0.77,31993.1868
